@relation E1_Year1CGPA_FinalClean

@attribute Faculty {"EEE","CSE","ME","Others","CE","ECE"}
@attribute CurrentInstitution {"UIU","KUET","Others","RUET","KU","CU","NSU","IUBAT","BRAC","SEU","AIUB","BUET","SUST","CUET","DU"}
@attribute HSCGraduationYear NUMERIC
@attribute Gender {"Male (পুরুষ)","Female (নারী)"}
@attribute CollegeCategory {"Public (সরকারি)","Private (বেসরকারি)"}
@attribute CollegeLocation {"Rural area (Village) (গ্রামাঞ্চল)","Urban area (City) (শহরাঞ্চল)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Semi-urban area (আধা-নগর এলাকা)"}
@attribute HSCLearningSource {"College classes (কলেজ ক্লাস)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Both equally (উভয়ই সমানভাবে)","Self-study (স্ব-অধ্যয়ন)"}
@attribute CollegeAttendance {"Very rarely (Below 25%) (খুবই কম (২৫%-এর নিচে))","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))"}
@attribute HSCMath {"190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","< 120 (< ১২০)","140 - 160 (১৪০ - ১৬০)"}
@attribute HSCPhysics {"< 120 (< ১২০)","190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","140 - 160 (১৪০ - ১৬০)"}
@attribute HSCChemistry {"140 - 160 (১৪০ - ১৬০)","190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","< 120 (< ১২০)"}
@attribute FamilyMembers {"8 and above (৮ এবং তদূর্ধ্ব)","3 (৩)","4 - 5 (৪ - ৫)","6 - 7 (৬ - ৭)","2 (২)"}
@attribute BirthOrder {"Last Child","First-child","Middle child","Others"}
@attribute HouseholdIncomeYearly {"Less than 5  Lakhs (৫ লাখের কম)","10- 18 Lakhs (১০ - ১৮ লাখ)","5 - 10 Lakhs (৫ - ১০ লাখ)","Above 18 Lakhs (১৮ লাখের উপরে)"}
@attribute HSCMonthlyExpenditure {"Above 30,000 (৩০,০০০ এর উপরে)","Less than 5,000 (৫,০০০ এর কম)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)"}
@attribute InternetAvailability {"WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Mobile Data (মোবাইল ডাটা)","Mobile Data with limited Access (সীমিত সুবিধা)","Unavailable (ইন্টারনেট সুবিধা ছিল না)"}
@attribute ComputerAvailability {"Unavailable (ছিল না)","Available (সহজলভ্য)"}
@attribute Year1CGPA {"Above 3.75 (৩.৭৫ এর উপরে)","3.00 - 3.25 (৩.০০ - ৩.২৫)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","Less than 3.00 (৩.০০ এর কম)"}
@attribute UniversityPreferenceOrder {"5th choice or lower (৫ম পছন্দ বা তার নিচে)","3rd choice (৩য় পছন্দ)","2nd choice (২য় পছন্দ)","4th choice (৪র্থ পছন্দ)","1st choice (১ম পছন্দ)"}
@attribute DepartmentPreferenceOrder {"1st choice (১ম পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","2nd choice (২য় পছন্দ)","3rd choice (৩য় পছন্দ)","4th choice (৪র্থ পছন্দ)"}
@attribute FatherEducation {"Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Undergraduate (স্নাতক/অনার্স)","Secondary (মাধ্যমিক/এসএসসি)","Primary (প্রাথমিক)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)"}
@attribute MotherEducation {"Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Secondary (মাধ্যমিক/এসএসসি)","Primary (প্রাথমিক)"}
@attribute FatherEmploymentSector {"Public sector (সরকারি চাকরি)","Self-employed (স্বনিয়োজিত)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)","Private sector (বেসরকারি চাকরি)","Business owner (ব্যবসা/উদ্যোক্তা)"}
@attribute MotherEmploymentSector {"Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)","Private sector (বেসরকারি চাকরি)","Self-employed (স্বনিয়োজিত)","Business owner (ব্যবসা/উদ্যোক্তা)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)"}

@data
"Others","KUET",2023,"Female (নারী)","Public (সরকারি)","Rural area (Village) (গ্রামাঞ্চল)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","Middle child","Less than 5  Lakhs (৫ লাখের কম)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","Mobile Data with limited Access (সীমিত সুবিধা)","Unavailable (ছিল না)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","1st choice (১ম পছন্দ)","4th choice (৪র্থ পছন্দ)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","KUET",2021,"Female (নারী)","Public (সরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","Middle child","Less than 5  Lakhs (৫ লাখের কম)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.00 - 3.25 (৩.০০ - ৩.২৫)","1st choice (১ম পছন্দ)","1st choice (১ম পছন্দ)","Undergraduate (স্নাতক/অনার্স)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Public sector (সরকারি চাকরি)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)"
"ME","KUET",2023,"Male (পুরুষ)","Public (সরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Self-study (স্ব-অধ্যয়ন)","Very rarely (Below 25%) (খুবই কম (২৫%-এর নিচে))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","First-child","Less than 5  Lakhs (৫ লাখের কম)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","Mobile Data (মোবাইল ডাটা)","Unavailable (ছিল না)","3.00 - 3.25 (৩.০০ - ৩.২৫)","4th choice (৪র্থ পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Secondary (মাধ্যমিক/এসএসসি)","Undergraduate (স্নাতক/অনার্স)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"ME","IUBAT",2022,"Female (নারী)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","Others","5 - 10 Lakhs (৫ - ১০ লাখ)","Above 30,000 (৩০,০০০ এর উপরে)","Mobile Data (মোবাইল ডাটা)","Available (সহজলভ্য)","3.00 - 3.25 (৩.০০ - ৩.২৫)","3rd choice (৩য় পছন্দ)","3rd choice (৩য় পছন্দ)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Public sector (সরকারি চাকরি)","Business owner (ব্যবসা/উদ্যোক্তা)"
"CE","CU",2022,"Male (পুরুষ)","Private (বেসরকারি)","Urban area (City) (শহরাঞ্চল)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","Middle child","5 - 10 Lakhs (৫ - ১০ লাখ)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.00 - 3.25 (৩.০০ - ৩.২৫)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","2nd choice (২য় পছন্দ)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Primary (প্রাথমিক)","Business owner (ব্যবসা/উদ্যোক্তা)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","KUET",2022,"Female (নারী)","Public (সরকারি)","Rural area (Village) (গ্রামাঞ্চল)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","6 - 7 (৬ - ৭)","First-child","5 - 10 Lakhs (৫ - ১০ লাখ)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","3rd choice (৩য় পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)","Self-employed (স্বনিয়োজিত)"
"CSE","KUET",2023,"Female (নারী)","Public (সরকারি)","Rural area (Village) (গ্রামাঞ্চল)","College classes (কলেজ ক্লাস)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","Middle child","Above 18 Lakhs (১৮ লাখের উপরে)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","Mobile Data (মোবাইল ডাটা)","Unavailable (ছিল না)","Above 3.75 (৩.৭৫ এর উপরে)","2nd choice (২য় পছন্দ)","3rd choice (৩য় পছন্দ)","Secondary (মাধ্যমিক/এসএসসি)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)","Homemaker (গৃহকর্মে নিয়োজিত)"
"ME","NSU",2020,"Female (নারী)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Both equally (উভয়ই সমানভাবে)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","3 (৩)","Others","10- 18 Lakhs (১০ - ১৮ লাখ)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","Mobile Data (মোবাইল ডাটা)","Available (সহজলভ্য)","Above 3.75 (৩.৭৫ এর উপরে)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","3rd choice (৩য় পছন্দ)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Primary (প্রাথমিক)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","KUET",2023,"Male (পুরুষ)","Public (সরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","First-child","Above 18 Lakhs (১৮ লাখের উপরে)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","Unavailable (ইন্টারনেট সুবিধা ছিল না)","Available (সহজলভ্য)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","3rd choice (৩য় পছন্দ)","1st choice (১ম পছন্দ)","Secondary (মাধ্যমিক/এসএসসি)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"EEE","RUET",2021,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","College classes (কলেজ ক্লাস)","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","3 (৩)","Middle child","Above 18 Lakhs (১৮ লাখের উপরে)","Above 30,000 (৩০,০০০ এর উপরে)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","2nd choice (২য় পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Primary (প্রাথমিক)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","AIUB",2023,"Female (নারী)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","Last Child","10- 18 Lakhs (১০ - ১৮ লাখ)","Above 30,000 (৩০,০০০ এর উপরে)","Mobile Data with limited Access (সীমিত সুবিধা)","Unavailable (ছিল না)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","2nd choice (২য় পছন্দ)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Secondary (মাধ্যমিক/এসএসসি)","Public sector (সরকারি চাকরি)","Public sector (সরকারি চাকরি)"
"CE","BUET",2023,"Female (নারী)","Private (বেসরকারি)","Semi-urban area (আধা-নগর এলাকা)","Both equally (উভয়ই সমানভাবে)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","6 - 7 (৬ - ৭)","Last Child","10- 18 Lakhs (১০ - ১৮ লাখ)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","Unavailable (ইন্টারনেট সুবিধা ছিল না)","Unavailable (ছিল না)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","1st choice (১ম পছন্দ)","2nd choice (২য় পছন্দ)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Primary (প্রাথমিক)","Self-employed (স্বনিয়োজিত)","Homemaker (গৃহকর্মে নিয়োজিত)"
"EEE","KUET",2022,"Male (পুরুষ)","Public (সরকারি)","Rural area (Village) (গ্রামাঞ্চল)","Both equally (উভয়ই সমানভাবে)","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","Middle child","10- 18 Lakhs (১০ - ১৮ লাখ)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","Mobile Data (মোবাইল ডাটা)","Available (সহজলভ্য)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","2nd choice (২য় পছন্দ)","3rd choice (৩য় পছন্দ)","Primary (প্রাথমিক)","Undergraduate (স্নাতক/অনার্স)","Business owner (ব্যবসা/উদ্যোক্তা)","Homemaker (গৃহকর্মে নিয়োজিত)"
"EEE","KU",2022,"Male (পুরুষ)","Public (সরকারি)","Semi-urban area (আধা-নগর এলাকা)","Both equally (উভয়ই সমানভাবে)","Very rarely (Below 25%) (খুবই কম (২৫%-এর নিচে))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","8 and above (৮ এবং তদূর্ধ্ব)","Others","Above 18 Lakhs (১৮ লাখের উপরে)","Less than 5,000 (৫,০০০ এর কম)","Unavailable (ইন্টারনেট সুবিধা ছিল না)","Unavailable (ছিল না)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","1st choice (১ম পছন্দ)","3rd choice (৩য় পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"EEE","SEU",2023,"Female (নারী)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","3 (৩)","Middle child","5 - 10 Lakhs (৫ - ১০ লাখ)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","Mobile Data with limited Access (সীমিত সুবিধা)","Available (সহজলভ্য)","3.00 - 3.25 (৩.০০ - ৩.২৫)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","KUET",2022,"Female (নারী)","Public (সরকারি)","Semi-urban area (আধা-নগর এলাকা)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","2 (২)","Middle child","5 - 10 Lakhs (৫ - ১০ লাখ)","Less than 5,000 (৫,০০০ এর কম)","Mobile Data (মোবাইল ডাটা)","Unavailable (ছিল না)","3.00 - 3.25 (৩.০০ - ৩.২৫)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","2nd choice (২য় পছন্দ)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Primary (প্রাথমিক)","Public sector (সরকারি চাকরি)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)"
"Others","KUET",2022,"Female (নারী)","Public (সরকারি)","Semi-urban area (আধা-নগর এলাকা)","Both equally (উভয়ই সমানভাবে)","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","3 (৩)","Last Child","5 - 10 Lakhs (৫ - ১০ লাখ)","Less than 5,000 (৫,০০০ এর কম)","Unavailable (ইন্টারনেট সুবিধা ছিল না)","Unavailable (ছিল না)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","3rd choice (৩য় পছন্দ)","4th choice (৪র্থ পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","UIU",2020,"Male (পুরুষ)","Public (সরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","First-child","Above 18 Lakhs (১৮ লাখের উপরে)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","Mobile Data (মোবাইল ডাটা)","Available (সহজলভ্য)","3.00 - 3.25 (৩.০০ - ৩.২৫)","1st choice (১ম পছন্দ)","4th choice (৪র্থ পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
